"Property ID","Address Detail PID","Property Name","Address Detail Name"
101137,GASA_718981406,"5 Wyatt Street, Lightsview, SA 5085","5 WYATT STREET LIGHTSVIEW SA"
101138,GANSW718438663,"5 Huntington Street, Ropes Crossing, NSW 2760","5 HUNTINGTON STREET ROPES CROSSING NSW"
101139,GANSW718191338,"5 Daylesford Close, Ropes Crossing, NSW 2760","5 DAYLESFORD CLOSE ROPES CROSSING NSW"
101140,GANSW718312117,"5 Harding Close, Ropes Crossing, NSW 2760","5 HARDING CLOSE ROPES CROSSING NSW"
101141,GANSW718311054,"5 Finsbury Circuit, Ropes Crossing, NSW 2760","5 FINSBURY CIRCUIT ROPES CROSSING NSW"
101142,GAQLD425750844,"5 Honeypot Avenue, Springfield Lakes, QLD 4300","LOT 508 5 HONEYPOT AVENUE SPRINGFIELD LAKES QLD"
101143,GAQLD425173895,"5 Geraldton Street, Springfield Lakes, QLD 4300","LOT 511 5 GERALDTON STREET SPRINGFIELD LAKES QLD"
101144,GAQLD425176156,"5 Wild Iris Terrace, Springfield Lakes, QLD 4300","LOT 524 5 WILD IRIS TERRACE SPRINGFIELD LAKES QLD"
101145,GAVIC719439434,"5 Bandon Road, Weir Views, VIC 3338","5 BANDON ROAD WEIR VIEW    S VIC"
101146,GAVIC719422424,"5 Glenelly Street, Weir Views, VIC 3338","5 GLENELLY STREET WEIR VIEWS VIC"
101147,GAVIC719409738,"5 Mourne Street, Weir Views, VIC 3338","5 MOURNE STREET WEIR VIEWS VIC"
101148,GAVIC719424557,"5 Nore Crescent, Weir Views, VIC 3338","5 NORE CRESCENT WEIR VIEWS VIC"
101149,GAVIC719437281,"5 Castletown Boulevard, Weir Views, VIC 3338","5 CASTLETOWN BOULEVARD WEIR VIEWS VIC"
101150,GAVIC719430910,"5 Avonmore Way, Weir Views, VIC 3338","5 AVONMORE WAY WEIR VIEWS VIC"
101151,GAVIC719441524,"5 Barron Way, Weir Views, VIC 3338","5 BARRON WAY WEIR VIEWS VIC"
101152,GAVIC719411929,"5 Erne Mews, Weir Views, VIC 3338","5 ERNE MEWS WEIR VIEWS VIC"
101153,GAVIC719428824,"5 Tetbury Avenue, Weir Views, VIC 3338","5 TETBURY AVENUE WEIR VIEWS VIC"
